Call,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
DG7EE,34,5,11,13,11,10,0,0
DG7NFX,21,0,6,9,9,4,0,0
DG7RO,40,13,21,27,17,14,2,0
DG8HJ,9,6,5,3,3,2,0,0
DG8KAD,21,5,5,7,6,8,1,0
DG9MDM,22,0,5,8,10,8,2,0
DH0GHU,40,10,15,21,17,15,2,0
DH0JAE,26,0,26,0,0,0,0,0
DH1PAL,1,0,0,0,1,0,0,0
DH1TST,14,4,6,3,5,3,0,0
DH2URF,23,0,7,7,8,3,0,0
DH5MM,12,0,0,7,0,4,1,0
DH6DAO,21,0,8,11,5,7,1,0
DH7KU,8,0,2,5,4,1,1,0
